profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_00001.mat,results_drum_profile_00001.csv,OK,200.000000,0.008000,2.355587,0.622988,0.034000,3.029575,run_00001
drum_profile_00002.mat,results_drum_profile_00002.csv,OK,200.000000,0.007000,1.929189,0.608988,0.033999,2.584176,run_00002
drum_profile_00003.mat,results_drum_profile_00003.csv,OK,200.000000,0.006999,1.939157,0.627990,0.052995,2.636143,run_00003
drum_profile_00004.mat,results_drum_profile_00004.csv,OK,200.000000,0.007000,1.823786,0.604991,0.033997,2.473773,run_00004
drum_profile_00005.mat,results_drum_profile_00005.csv,OK,200.000000,0.006999,1.963988,0.608988,0.033999,2.618974,run_00005
drum_profile_00006.mat,results_drum_profile_00006.csv,OK,200.000000,0.008000,1.961690,0.603989,0.033999,2.612678,run_00006
drum_profile_00007.mat,results_drum_profile_00007.csv,OK,200.000000,0.006999,1.821097,0.605988,0.033999,2.473370,run_00007
drum_profile_00008.mat,results_drum_profile_00008.csv,OK,200.000000,0.006998,1.943669,0.617989,0.044001,2.617655,run_00008
drum_profile_00009.mat,results_drum_profile_00009.csv,OK,200.000000,0.007996,1.846642,0.627256,0.034055,2.520952,run_00009
drum_profile_00010.mat,results_drum_profile_00010.csv,OK,200.000000,0.007000,1.961491,0.777985,0.033999,2.785476,run_00010
drum_profile_00011.mat,results_drum_profile_00011.csv,OK,200.000000,0.007000,1.948635,0.617990,0.034998,2.614623,run_00011
drum_profile_00012.mat,results_drum_profile_00012.csv,OK,200.000000,0.007000,1.964718,0.806984,0.033999,2.818701,run_00012
drum_profile_00013.mat,results_drum_profile_00013.csv,OK,200.000000,0.006997,1.959592,0.622057,0.034000,2.628648,run_00013
drum_profile_00014.mat,results_drum_profile_00014.csv,OK,200.000000,0.007997,1.968530,0.604988,0.034000,2.620515,run_00014
drum_profile_00015.mat,results_drum_profile_00015.csv,OK,200.000000,0.008001,1.927696,0.630058,0.034996,2.606748,run_00015
drum_profile_00016.mat,results_drum_profile_00016.csv,OK,200.000000,0.008003,1.974748,0.606068,0.034000,2.627817,run_00016
drum_profile_00017.mat,results_drum_profile_00017.csv,OK,200.000000,0.007999,1.908492,0.616738,0.034999,2.573228,run_00017
drum_profile_00018.mat,results_drum_profile_00018.csv,OK,200.000000,0.008000,1.932826,0.615985,0.037999,2.599814,run_00018
drum_profile_00019.mat,results_drum_profile_00019.csv,OK,200.000000,0.007004,2.055242,0.610991,0.033999,2.712236,run_00019
