profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_01001.mat,results_drum_profile_01001.csv,OK,200.000000,0.007001,4.259050,0.682992,0.035003,4.993045,run_01001
drum_profile_01002.mat,results_drum_profile_01002.csv,OK,200.000000,0.006999,2.202359,0.625995,0.034001,2.874354,run_01002
drum_profile_01003.mat,results_drum_profile_01003.csv,OK,200.000000,0.009000,2.247152,0.610996,0.033999,2.906147,run_01003
drum_profile_01004.mat,results_drum_profile_01004.csv,OK,200.000000,0.008002,2.060973,0.616992,0.034000,2.724967,run_01004
drum_profile_01005.mat,results_drum_profile_01005.csv,OK,200.000000,0.007003,2.171467,0.607996,0.033997,2.825463,run_01005
drum_profile_01006.mat,results_drum_profile_01006.csv,OK,200.000000,0.007001,2.097990,0.606995,0.034000,2.750986,run_01006
drum_profile_01007.mat,results_drum_profile_01007.csv,OK,200.000000,0.006999,2.165492,0.600996,0.034997,2.813483,run_01007
drum_profile_01008.mat,results_drum_profile_01008.csv,OK,200.000000,0.008000,2.164984,0.610995,0.035000,2.822978,run_01008
drum_profile_01009.mat,results_drum_profile_01009.csv,OK,200.000000,0.007998,2.187523,0.605999,0.033998,2.840517,run_01009
drum_profile_01010.mat,results_drum_profile_01010.csv,OK,200.000000,0.008000,2.185791,0.603997,0.034998,2.837786,run_01010
drum_profile_01011.mat,results_drum_profile_01011.csv,OK,200.000000,0.007003,2.179028,0.625995,0.035000,2.852025,run_01011
drum_profile_01012.mat,results_drum_profile_01012.csv,OK,200.000000,0.007000,2.185229,0.611995,0.034000,2.843224,run_01012
drum_profile_01013.mat,results_drum_profile_01013.csv,OK,200.000000,0.008000,2.176903,0.610996,0.037105,2.838005,run_01013
drum_profile_01014.mat,results_drum_profile_01014.csv,OK,200.000000,0.006999,2.161667,0.603993,0.035000,2.812660,run_01014
drum_profile_01015.mat,results_drum_profile_01015.csv,OK,200.000000,0.008004,2.104930,0.606997,0.034995,2.759927,run_01015
drum_profile_01016.mat,results_drum_profile_01016.csv,OK,200.000000,0.006998,2.200590,0.606009,0.034003,2.851604,run_01016
drum_profile_01017.mat,results_drum_profile_01017.csv,OK,200.000000,0.008000,2.150900,0.614993,0.035002,2.813897,run_01017
drum_profile_01018.mat,results_drum_profile_01018.csv,OK,200.000000,0.006999,2.168950,0.593997,0.034998,2.809943,run_01018
drum_profile_01019.mat,results_drum_profile_01019.csv,OK,200.000000,0.006998,2.207839,0.619995,0.034002,2.873833,run_01019
drum_profile_01020.mat,results_drum_profile_01020.csv,OK,200.000000,0.007999,2.019605,0.619995,0.034002,2.686600,run_01020
drum_profile_01021.mat,results_drum_profile_01021.csv,OK,200.000000,0.007010,2.164075,0.606997,0.036659,2.819738,run_01021
drum_profile_01022.mat,results_drum_profile_01022.csv,OK,200.000000,0.007999,2.181525,0.611995,0.034003,2.840523,run_01022
drum_profile_01023.mat,results_drum_profile_01023.csv,OK,200.000000,0.007000,2.180417,0.598993,0.033999,2.825410,run_01023
drum_profile_01024.mat,results_drum_profile_01024.csv,OK,200.000000,0.008003,2.136674,0.615994,0.034999,2.800673,run_01024
drum_profile_01025.mat,results_drum_profile_01025.csv,OK,200.000000,0.008002,2.004985,0.615993,0.035000,2.668982,run_01025
drum_profile_01026.mat,results_drum_profile_01026.csv,OK,200.000000,0.008003,2.145576,0.610999,0.033999,2.803574,run_01026
drum_profile_01027.mat,results_drum_profile_01027.csv,OK,200.000000,0.007000,2.197993,0.622991,0.033999,2.867983,run_01027
drum_profile_01028.mat,results_drum_profile_01028.csv,OK,200.000000,0.008004,2.119156,0.607996,0.035000,2.774153,run_01028
